city_id,name,n_box,n_voter
1,ALADAĞ,51,12330
1,CEYHAN,357,112582
1,ÇUKUROVA,790,287869
1,FEKE,60,12788
1,İMAMOĞLU,67,20211
1,KARAİSALI,84,17312
1,KARATAŞ,72,17032
1,KOZAN,314,97411
1,POZANTI,52,15274
1,SAİMBEYLİ,44,10729
1,SARIÇAM,424,147569
1,SEYHAN,1565,562326
1,TUFANBEYLİ,59,12827
1,YUMURTALIK,50,13769
1,YÜREĞİR,784,273305
2,ADIYAMAN MERKEZ,608,186863
2,BESNİ,197,52352
2,ÇELİKHAN,53,10320
2,GERGER,63,10685
2,GÖLBAŞI,112,33496
2,KAHTA,313,83579
2,SAMSAT,24,4291
2,SİNCİK,53,10973
2,TUT,29,6744
3,AFYONKARAHİSAR MERKEZ,652,218736
3,BAŞMAKÇI,30,7494
3,BAYAT,24,5701
3,BOLVADİN,126,31498
3,ÇAY,80,23230
3,ÇOBANLAR,34,9488
3,DAZKIRI,35,8786
3,DİNAR,151,35565
3,EMİRDAĞ,142,32693
3,EVCİLER,20,5594
3,HOCALAR,28,6979
3,İHSANİYE,79,20232
3,İSCEHİSAR,56,17568
3,KIZILÖREN,8,1847
3,SANDIKLI,149,41723
3,SİNANPAŞA,121,29626
3,SULTANDAĞI,48,12010
3,ŞUHUT,97,27393
4,AĞRI MERKEZ,316,90838
4,DİYADİN,105,22975
4,DOĞUBAYAZIT,245,70364
4,ELEŞKİRT,96,19536
4,HAMUR,53,9344
4,PATNOS,236,65231
4,TAŞLIÇAY,54,11465
4,TUTAK,99,16931
5,AMASYA MERKEZ,357,107055
5,GÖYNÜCEK,48,7950
5,GÜMÜŞHACIKÖY,83,18246
5,HAMAMÖZÜ,22,2979
5,MERZİFON,218,58663
5,SULUOVA,134,36530
5,TAŞOVA,108,25221
6,AKYURT,99,30348
6,ALTINDAĞ,800,294263
6,AYAŞ,42,10009
6,BALA,70,17513
6,BEYPAZARI,152,37430
6,ÇAMLIDERE,51,7402
6,ÇANKAYA,1971,717034
6,ÇUBUK,247,69444
6,ELMADAĞ,109,34388
6,ETİMESGUT,1244,462889
6,EVREN,14,2466
6,GÖLBAŞI,307,106348
6,GÜDÜL,38,7203
6,HAYMANA,107,21158
6,KAHRAMANKAZAN,145,42802
6,KALECİK,67,10341
6,KEÇİÖREN,1885,693795
6,KIZILCAHAMAM,141,22835
6,MAMAK,1358,499456
6,NALLIHAN,120,21762
6,POLATLI,309,95629
6,PURSAKLAR,318,115128
6,SİNCAN,1119,409424
6,ŞEREFLİKOÇHİSAR,107,25169
6,YENİMAHALLE,1430,528482
7,AKSEKİ,59,9129
7,AKSU,163,55724
7,ALANYA,684,231627
7,DEMRE,63,21283
7,DÖŞEMEALTI,163,56208
7,ELMALI,113,30875
7,FİNİKE,122,38139
7,GAZİPAŞA,140,41450
7,GÜNDOĞMUŞ,32,6235
7,İBRADI,12,2464
7,KAŞ,161,47411
7,KEMER,93,32867
7,KEPEZ,1196,436485
7,KONYAALTI,359,128269
7,KORKUTELİ,153,44120
7,KUMLUCA,168,55563
7,MANAVGAT,546,183641
7,MURATPAŞA,1046,382434
7,SERİK,307,101601
8,ARDANUÇ,66,9076
8,ARHAVİ,70,16901
8,ARTVİN MERKEZ,107,25213
8,BORÇKA,67,17375
8,HOPA,73,21320
8,KEMALPAŞA,27,7211
8,MURGUL,21,4657
8,ŞAVŞAT,90,14718
8,YUSUFELİ,115,15809
9,BOZDOĞAN,97,25626
9,BUHARKENT,34,10017
9,ÇİNE,154,39758
9,DİDİM,212,76177
9,EFELER,651,226108
9,GERMENCİK,109,33056
9,İNCİRLİOVA,122,40884
9,KARACASU,60,14356
9,KARPUZLU,35,8788
9,KOÇARLI,77,17999
9,KÖŞK,72,21266
9,KUŞADASI,282,100825
9,KUYUCAK,72,21249
9,NAZİLLİ,367,121927
9,SÖKE,281,93541
9,SULTANHİSAR,53,15486
9,YENİPAZAR,39,9721
10,ALTIEYLÜL,431,140061
10,AYVALIK,182,60055
10,BALYA,56,10957
10,BANDIRMA,357,122936
10,BİGADİÇ,141,37259
10,BURHANİYE,157,50403
10,DURSUNBEY,159,27600
10,EDREMİT,386,135472
10,ERDEK,86,26792
10,GÖMEÇ,42,13613
10,GÖNEN,225,60929
10,HAVRAN,72,21344
10,İVRİNDİ,107,25958
10,KARESİ,420,142973
10,KEPSUT,88,16481
10,MANYAS,68,15159
10,MARMARA,31,8777
10,SAVAŞTEPE,76,13704
10,SINDIRGI,117,28138
